title,event_date,location,source,event_url,description,categories,tone
Austin City Council Meeting,2025-10-25,Austin City Hall,Austin City Government,austintexas.gov,Weekly council meeting discussing zoning and infrastructure updates.,"Housing, Transportation",Procedural
Downtown Climate Action Rally,2025-10-26,Republic Square Park,Eventbrite,eventbrite.com,Community rally advocating for renewable energy and local green policy.,"Environment, Social Justice",Action-Oriented
UT Austin Civic Engagement Workshop,2025-10-29,UT Austin – Student Union,Meetup,meetup.com,Educational session for students on how to participate in local government.,"Education, Economy",Informational
East Austin Affordable Housing Forum,2025-10-31,Carver Branch Library,Meetup,meetup.com,Panel discussion on new affordable housing policies and initiatives.,"Housing, Economy",Contentious
Austin Voter Registration Drive,2025-11-01,Mueller Lake Park,Democracy Works,democracy.works,Volunteers helping residents register to vote before the next election.,Social Justice ,Action-Oriented
Public Safety Community Meeting,2025-11-03,Austin Police HQ,Austin City Government,austintexas.gov,Open discussion with residents and officers about safety priorities.,Public Safety,Informational
Transportation Improvement Hearing,2025-11-04,City Council Chambers,Austin City Government,austintexas.gov,Public comment session on proposed changes to bus and bike lanes.,Transportation,Procedural
West Campus Tenant Rights Talk,2025-11-05,UT Co-op Commons,Meetup,meetup.com,Informal Q&A with lawyers about tenant rights and local rent laws.,"Housing, Social Justice",Informational
Civic Hackathon: Tech for Good,2025-11-07,Capital Factory,Eventbrite,eventbrite.com,Weekend event creating tools to improve local civic engagement.,Economy,Action-Oriented
Education & Equity Town Hall,2025-11-08,Huston-Tillotson University,Meetup,meetup.com,Local educators and policymakers discuss inequality in Austin schools.,"Education, Social Justice",Contentious
Parks and Recreation Improvement Forum,2025-11-09,Zilker Park Pavilion,Austin City Government,austintexas.gov,Discussion about park maintenance and community sustainability.,Environment,Informational
Women in Policy Meetup,2025-11-10,Central Library,Meetup,meetup.com,Networking event for women working in public policy and government.,"Social Justice, Economy",Celebration
Local Government 101 Workshop,2025-11-12,Austin Public Library,Eventbrite,eventbrite.com,Introductory session on city council processes and civic involvement.,"Education, Economy",Informational
Healthcare Access Community Forum,2025-11-13,Dell Medical School,Meetup,meetup.com,Residents share experiences on healthcare affordability and access.,"Healthcare, Economy",Contentious
Youth Leadership Volunteer Day,2025-11-15,Givens Park,Eventbrite,eventbrite.com,Teen volunteers beautify local parks and learn about civic service.,"Environment, Education",Action-Oriented
Austin Public Transit Feedback Session,2025-11-17,City Hall,Austin City Government,austintexas.gov,Citizens discuss bus route optimization and fare structure updates.,Transportation,Procedural
Sustainability & Climate Education Night,2025-11-18,Thinkery,Meetup,meetup.com,Hands-on demos and talks about sustainable living practices.,"Environment, Education",Informational
Neighborhood Policy Listening Session,2025-11-20,Cherrywood Community Center,Meetup,meetup.com,Open mic for residents to share neighborhood policy concerns.,"Housing, Economy",Informational
Civic Film Screening: “Democracy in Motion”,2025-11-22,AFS Cinema,Eventbrite,eventbrite.com,Documentary film exploring civic engagement in Austin communities.,"Education, Social Justice",Celebration
Holiday Food Drive Kickoff,2025-11-23,Austin Convention Center,Eventbrite,eventbrite.com,City-led initiative to collect food donations for local shelters.,Social Justice,Celebration